a_x,a_y,a_z,t
-0.01,-0.01,0.25,0.00018668174743652344
-0.0,-0.01,0.25,0.003879070281982422
-0.01,-0.01,0.25,0.004029273986816406
-0.01,-0.01,0.25,0.007942438125610352
-0.01,-0.01,0.25,0.00809335708618164
-0.01,-0.01,0.26,0.01206827163696289
-0.01,-0.01,0.25,0.012217521667480469
-0.01,-0.01,0.25,0.015563011169433594
-0.01,-0.01,0.25,0.019435405731201172
-0.01,-0.01,0.25,0.019544601440429688
-0.0,-0.01,0.26,0.023480892181396484
-0.0,-0.01,0.25,0.02355194091796875
-0.01,-0.01,0.25,0.02747511863708496
-0.01,-0.01,0.25,0.02754497528076172
-0.0,-0.01,0.25,0.0315244197845459
-0.01,-0.01,0.25,0.03161978721618652
-0.01,-0.01,0.25,0.035625457763671875
-0.0,-0.01,0.25,0.03572678565979004
-0.01,-0.01,0.25,0.03968405723571777
-0.0,-0.01,0.25,0.0397951602935791
-0.01,-0.01,0.25,0.04376840591430664
-0.01,-0.01,0.25,0.043908119201660156
-0.0,-0.01,0.25,0.04721665382385254
-0.01,-0.01,0.24,0.0473783016204834
-0.01,-0.01,0.25,0.05125880241394043
-0.01,-0.01,0.25,0.055132150650024414
-0.01,-0.01,0.25,0.055284738540649414
-0.01,-0.01,0.25,0.05915951728820801
-0.01,-0.01,0.25,0.05932497978210449
-0.0,-0.01,0.25,0.06311702728271484
-0.01,-0.01,0.25,0.06326699256896973
-0.01,-0.01,0.25,0.06726241111755371
-0.01,-0.01,0.25,0.06742644309997559
-0.01,-0.01,0.25,0.07133293151855469
-0.0,-0.01,0.25,0.07149696350097656
-0.01,-0.01,0.25,0.07536149024963379
-0.01,-0.01,0.25,0.07551264762878418
-0.0,-0.01,0.25,0.07983040809631348
-0.01,-0.01,0.25,0.07999420166015625
-0.01,-0.01,0.25,0.08309054374694824
-0.01,-0.01,0.25,0.08715677261352539
-0.01,-0.01,0.25,0.08733153343200684
-0.0,-0.01,0.25,0.09105777740478516
-0.01,-0.01,0.25,0.09120774269104004
-0.01,-0.01,0.25,0.0951840877532959
-0.01,-0.01,0.25,0.09534621238708496
-0.01,-0.01,0.25,0.09920382499694824
-0.01,-0.01,0.25,0.09936213493347168
-0.01,-0.01,0.25,0.10320162773132324
-0.01,-0.01,0.25,0.10342049598693848
-0.0,-0.01,0.25,0.10727691650390625
-0.0,-0.01,0.25,0.10743975639343262
-0.01,-0.01,0.24,0.11146092414855957
-0.01,-0.01,0.25,0.11162471771240234
-0.01,-0.01,0.24,0.11482810974121094
-0.01,-0.01,0.25,0.11497640609741211
-0.0,-0.01,0.24,0.11880803108215332
-0.0,-0.01,0.25,0.12291121482849121
-0.01,-0.01,0.25,0.12316465377807617
-0.01,-0.01,0.25,0.12694096565246582
-0.0,-0.01,0.25,0.12714529037475586
-0.0,-0.01,0.25,0.13091015815734863
-0.0,-0.01,0.25,0.13124370574951172
-0.01,-0.01,0.25,0.1350548267364502
-0.01,-0.01,0.25,0.13530445098876953
-0.0,-0.0,0.25,0.13914251327514648
-0.01,-0.01,0.25,0.13937687873840332
-0.01,-0.01,0.24,0.14314746856689453
-0.01,-0.01,0.25,0.14351201057434082
-0.01,-0.01,0.25,0.14720678329467773
-0.01,-0.01,0.25,0.1474440097808838
-0.0,-0.01,0.25,0.15055322647094727
-0.0,-0.01,0.25,0.15438032150268555
