a_x,a_y,a_z,t
-0.00152,-0.01086,0.24711,0.0027425289154052734
-0.00195,-0.01183,0.25474,0.005355119705200195
-0.00201,-0.01263,0.24973,0.00572514533996582
-0.00079,-0.01214,0.24833,0.00861811637878418
-0.00207,-0.01159,0.24967,0.011569023132324219
-0.00134,-0.01135,0.2476,0.014117240905761719
-0.00195,-0.01354,0.24851,0.01714944839477539
-0.00104,-0.01226,0.249,0.01749396324157715
0.01531,-0.0111,0.24553,0.020255088806152344
-0.00256,-0.01385,0.25327,0.022820711135864258
-0.00091,-0.0119,0.25083,0.02558612823486328
-0.00366,-0.01171,0.23753,0.028177738189697266
-6e-05,-0.01202,0.24973,0.028455734252929688
-0.00049,-0.01147,0.24595,0.03125405311584473
-0.0022,-0.01397,0.25223,0.0341486930847168
-0.00061,-0.01318,0.24699,0.037000417709350586
-0.00152,-0.01104,0.2498,0.03969120979309082
-0.00323,-0.0119,0.26425,0.04003715515136719
-0.00104,-0.01226,0.25303,0.04254031181335449
-0.00091,-0.01177,0.24772,0.045226335525512695
-0.00128,-0.01141,0.24809,0.04814481735229492
-0.00207,-0.01354,0.2462,0.050812721252441406
-0.00207,-0.01257,0.24687,0.05328226089477539
-0.00012,-0.01257,0.25132,0.053610801696777344
-0.01501,-0.01019,0.24748,0.05632495880126953
-0.00122,-0.01171,0.24888,0.05893874168395996
-0.00226,-0.01251,0.24845,0.06165599822998047
-0.00085,-0.01098,0.2476,0.06436347961425781
-0.00238,-0.01348,0.24967,0.06456351280212402
-0.00171,-0.01269,0.25266,0.06750655174255371
-0.00055,-0.01141,0.24388,0.07019543647766113
-0.00207,-0.01305,0.24986,0.07299208641052246
-0.00281,-0.00952,0.24644,0.07565832138061523
-0.00122,-0.01171,0.25034,0.07604122161865234
-0.00134,-0.01263,0.24778,0.0786280632019043
-0.00305,-0.01183,0.24815,0.08135199546813965
-0.00207,-0.01122,0.2476,0.08399176597595215
-0.00061,-0.01244,0.24967,0.08686590194702148
-0.00293,-0.01074,0.24858,0.08956003189086914
-0.00555,-0.01104,0.24711,0.08977627754211426
-0.00256,-0.01025,0.25095,0.09262371063232422
-0.00409,-0.01293,0.24937,0.09531641006469727
-0.00043,-0.01128,0.24717,0.09800386428833008
-0.0022,-0.01208,0.24742,0.10069465637207031
-0.00281,-0.01257,0.25284,0.10097360610961914
-0.00104,-0.01257,0.24717,0.10390400886535645
-0.00171,-0.0111,0.24809,0.10657906532287598
-0.00043,-0.01263,0.24827,0.10923337936401367
-0.00384,-0.01263,0.24742,0.11237692832946777
-0.00122,-0.01525,0.24406,0.11275458335876465
0.00073,-0.0119,0.25144,0.11540985107421875
-0.0003,-0.01068,0.2465,0.11821484565734863
-0.00122,-0.01269,0.24906,0.12100052833557129
-0.00232,-0.01147,0.24491,0.1236276626586914
-0.00152,-0.01128,0.24858,0.12623882293701172
-0.00238,-0.0119,0.24821,0.1267712116241455
-0.0011,-0.01281,0.24723,0.1292417049407959
-0.00366,-0.01147,0.26358,0.13197588920593262
-0.00085,-0.01269,0.24943,0.13473796844482422
-0.00037,-0.01141,0.24723,0.13752150535583496
-0.00085,-0.01238,0.25144,0.13775086402893066
-0.00165,-0.01336,0.25041,0.14059948921203613
-0.00085,-0.01293,0.24821,0.14324212074279785
-0.00104,-0.01287,0.24723,0.14592242240905762
-0.00464,-0.01122,0.25041,0.14881038665771484
-0.00207,-0.01153,0.2487,0.1490492820739746
-0.0022,-0.01183,0.25095,0.15168023109436035
-0.00189,-0.01275,0.24839,0.15443730354309082
-0.0014,-0.01202,0.24717,0.15712833404541016
-0.00299,-0.01214,0.25095,0.1600334644317627
-0.00354,-0.01208,0.24778,0.16257190704345703
-0.00159,-0.01098,0.24565,0.16291308403015137
-0.00171,-0.01171,0.24729,0.16574382781982422
-0.00134,-0.01318,0.23576,0.16833138465881348
-0.00256,-0.0122,0.24491,0.17106413841247559
-0.00232,-0.01293,0.24839,0.173691987991333
-0.0011,-0.01037,0.24858,0.17406439781188965
-0.00207,-0.01257,0.24571,0.176771879196167
-0.00415,-0.01208,0.2637,0.17954516410827637
-0.00201,-0.01177,0.24918,0.1822376251220703
0.0136,-0.01452,0.25163,0.1851823329925537
-0.00104,-0.01263,0.2476,0.18548226356506348
-0.00287,-0.01263,0.25333,0.18796038627624512
-0.00189,-0.01202,0.24882,0.1907505989074707
-0.00183,-0.01244,0.24986,0.19344139099121094
